Designator,Mid X,Mid Y,Layer,Rot
C1,362.975,-142.825,bottom,180
C2,321.951992,-124.276992,bottom,135
C3,320.254937,-125.974049,bottom,135
C4,330.925,-123.325,bottom,180
C5,337.875,-128.375,bottom,90
C6,335.9,-138.275,bottom,-90
C7,323.025,-137.825,bottom,180
C8,362.975,-151.775,bottom,0
C9,362.975,-144.875,bottom,180
C10,368.675,-137.775,bottom,0
C11,337.325,-134.35,bottom,-90
C12,323.2,-119.175,bottom,-90
C13,326.3,-115.675,bottom,0
D1,43.095,-90.665,bottom,90
D2,62.145,-90.665,bottom,90
D3,81.195,-90.665,bottom,90
D4,100.245,-90.665,bottom,90
D5,119.295,-90.665,bottom,90
D6,138.345,-90.665,bottom,90
D7,157.395,-90.665,bottom,90
D8,176.445,-90.665,bottom,90
D9,195.495,-90.665,bottom,90
D10,214.545,-90.665,bottom,90
D11,233.595,-90.665,bottom,90
D12,252.645,-90.665,bottom,90
D13,271.695,-90.665,bottom,90
D14,300.27,-90.665,bottom,90
D15,333.6075,-90.665,bottom,90
D16,352.6575,-90.665,bottom,90
D17,371.7075,-90.665,bottom,90
D18,47.8575,-109.715,bottom,90
D19,71.67,-109.715,bottom,90
D20,90.72,-109.715,bottom,90
D21,109.77,-109.715,bottom,90
D22,128.82,-109.715,bottom,90
D23,147.87,-109.715,bottom,90
D24,166.92,-109.715,bottom,90
D25,185.97,-109.715,bottom,90
D26,205.02,-109.715,bottom,90
D27,224.07,-109.715,bottom,90
D28,243.12,-109.715,bottom,90
D29,262.17,-109.715,bottom,90
D30,281.22,-109.715,bottom,90
D31,305.0325,-109.715,bottom,90
D32,333.6075,-109.715,bottom,90
D33,352.6575,-109.715,bottom,90
D34,371.7075,-109.715,bottom,90
D35,50.23875,-128.765,bottom,90
D36,76.4325,-128.765,bottom,90
D37,95.4825,-128.765,bottom,90
D38,114.5325,-128.765,bottom,90
D39,133.5825,-128.765,bottom,90
D40,152.6325,-128.765,bottom,90
D41,171.6825,-128.765,bottom,90
D42,190.7325,-128.765,bottom,90
D43,209.7825,-128.765,bottom,90
D44,228.8325,-128.765,bottom,90
D45,247.8825,-128.765,bottom,90
D46,266.9325,-128.765,bottom,90
D47,297.88875,-128.765,bottom,90
D48,55.00125,-147.815,bottom,90
D49,85.9575,-147.815,bottom,90
D50,105.0075,-147.815,bottom,90
D51,124.0575,-147.815,bottom,90
D52,143.1075,-147.815,bottom,90
D53,162.1575,-147.815,bottom,90
D54,181.2075,-147.815,bottom,90
D55,200.2575,-147.815,bottom,90
D56,219.3075,-147.815,bottom,90
D57,238.3575,-147.815,bottom,90
D58,257.4075,-147.815,bottom,90
D59,293.12625,-147.815,bottom,90
D60,352.6575,-147.815,bottom,90
D61,45.47625,-166.865,bottom,90
D62,69.28875,-166.865,bottom,90
D63,93.10125,-166.865,bottom,90
D64,116.91375,-166.865,bottom,90
D65,155.01375,-166.865,bottom,90
D66,202.63875,-166.865,bottom,90
D67,235.97625,-166.865,bottom,90
D68,259.78875,-166.865,bottom,90
D69,283.60125,-166.865,bottom,90
D70,307.41375,-166.865,bottom,90
D71,333.6075,-166.865,bottom,90
D72,352.6575,-166.865,bottom,90
D73,371.7075,-166.865,bottom,90
D74,375.65,-124.5,bottom,90
J1,176.78,-161.885,bottom,0
J2,316.575,-138.075,bottom,180
J3,309.975,-143.175,bottom,180
MX1,40,-90,bottom,180
MX2,59.05,-90,bottom,180
MX3,78.1,-90,bottom,180
MX4,97.15,-90,bottom,180
MX5,116.2,-90,bottom,180
MX6,135.25,-90,bottom,180
MX7,154.3,-90,bottom,180
MX8,173.35,-90,bottom,180
MX9,192.4,-90,bottom,180
MX10,211.45,-90,bottom,180
MX11,230.5,-90,bottom,180
MX12,249.55,-90,bottom,180
MX13,268.6,-90,bottom,180
MX14,297.175,-90,bottom,180
MX15,330.5125,-90,bottom,180
MX16,349.5625,-90,bottom,180
MX17,368.6125,-90,bottom,180
MX18,44.7625,-109.05,bottom,180
MX19,68.575,-109.05,bottom,180
MX20,87.625,-109.05,bottom,180
MX21,106.675,-109.05,bottom,180
MX22,125.725,-109.05,bottom,180
MX23,144.775,-109.05,bottom,180
MX24,163.825,-109.05,bottom,180
MX25,182.875,-109.05,bottom,180
MX26,201.925,-109.05,bottom,180
MX27,220.975,-109.05,bottom,180
MX28,240.025,-109.05,bottom,180
MX29,259.075,-109.05,bottom,180
MX30,278.125,-109.05,bottom,180
MX31,301.9375,-109.05,bottom,180
MX32,330.5125,-109.05,bottom,180
MX33,349.5625,-109.05,bottom,180
MX34,368.6125,-109.05,bottom,180
MX35,47.14375,-128.1,bottom,180
MX36,73.3375,-128.1,bottom,180
MX37,92.3875,-128.1,bottom,180
MX38,111.4375,-128.1,bottom,180
MX39,130.4875,-128.1,bottom,180
MX40,149.5375,-128.1,bottom,180
MX41,168.5875,-128.1,bottom,180
MX42,187.6375,-128.1,bottom,180
MX43,206.6875,-128.1,bottom,180
MX44,225.7375,-128.1,bottom,180
MX45,244.7875,-128.1,bottom,180
MX46,263.8375,-128.1,bottom,180
MX47,294.79375,-128.1,bottom,180
MX48,51.90625,-147.15,bottom,180
MX49,82.8625,-147.15,bottom,180
MX50,101.9125,-147.15,bottom,180
MX51,120.9625,-147.15,bottom,180
MX52,140.0125,-147.15,bottom,180
MX53,159.0625,-147.15,bottom,180
MX54,178.1125,-147.15,bottom,180
MX55,197.1625,-147.15,bottom,180
MX56,216.2125,-147.15,bottom,180
MX57,235.2625,-147.15,bottom,180
MX58,254.3125,-147.15,bottom,180
MX59,290.03125,-147.15,bottom,180
MX60,349.5625,-147.15,bottom,180
MX61,42.38125,-166.2,bottom,180
MX62,66.19375,-166.2,bottom,180
MX63,90.00625,-166.2,bottom,180
MX64,113.81875,-166.2,bottom,180
MX65,151.91875,-166.2,bottom,180
MX66,199.54375,-166.2,bottom,180
MX67,232.88125,-166.2,bottom,180
MX68,256.69375,-166.2,bottom,180
MX69,280.50625,-166.2,bottom,180
MX70,304.31875,-166.2,bottom,180
MX71,330.5125,-166.2,bottom,180
MX72,349.5625,-166.2,bottom,180
MX73,368.6125,-166.2,bottom,180
R1,327.9,-141.375,bottom,90
R2,325.7,-141.375,bottom,90
R3,329.4,-119.175,bottom,-90
SW1,370.075,-143.575,bottom,90
U1,362.525,-148.475,bottom,-90
U2,328.807588,-131.588858,bottom,-90
U3,233.475,-153.675,bottom,-90
Y1,326.3,-119.175,bottom,-90
